,SEM_PRI,0,1,2,3,4,CASES
149,200945,8.0,0.0,0.0,0.0,0.0,8.0
150,200946,5.0,0.0,0.0,0.0,0.0,5.0
151,200947,5.0,0.0,0.0,0.0,0.0,5.0
152,200948,4.0,0.0,0.0,0.0,0.0,4.0
153,200949,4.0,0.0,0.0,1.0,0.0,5.0
154,200950,10.0,0.0,0.0,0.0,0.0,10.0
155,200951,7.0,0.0,0.0,0.0,0.0,7.0
156,200952,10.0,0.0,0.0,0.0,0.0,10.0
157,201001,13.0,0.0,0.0,0.0,0.0,13.0
158,201002,19.0,0.0,0.0,0.0,0.0,19.0
159,201003,17.0,2.0,0.0,0.0,0.0,19.0
160,201004,25.0,0.0,0.0,0.0,0.0,25.0
161,201005,29.0,0.0,0.0,0.0,0.0,29.0
162,201006,24.0,0.0,0.0,0.0,0.0,24.0
163,201007,35.0,0.0,0.0,0.0,0.0,35.0
164,201008,35.0,0.0,1.0,0.0,0.0,36.0
165,201009,43.0,0.0,0.0,0.0,0.0,43.0
166,201010,38.0,0.0,1.0,0.0,0.0,39.0
167,201011,33.0,0.0,0.0,0.0,0.0,33.0
168,201012,51.0,0.0,0.0,0.0,0.0,51.0
169,201013,46.0,0.0,0.0,0.0,0.0,46.0
170,201014,43.0,0.0,0.0,0.0,0.0,43.0
171,201015,48.0,0.0,1.0,0.0,0.0,49.0
172,201016,65.0,0.0,0.0,0.0,0.0,65.0
173,201017,79.0,0.0,3.0,0.0,0.0,82.0
174,201018,93.0,2.0,0.0,0.0,0.0,95.0
175,201019,71.0,1.0,1.0,0.0,0.0,73.0
176,201020,84.0,0.0,0.0,1.0,0.0,85.0
177,201021,71.0,1.0,0.0,0.0,0.0,72.0
178,201022,48.0,0.0,0.0,0.0,0.0,48.0
179,201023,32.0,0.0,0.0,0.0,0.0,32.0
180,201024,56.0,0.0,0.0,0.0,0.0,56.0
181,201025,40.0,0.0,0.0,0.0,0.0,40.0
182,201026,46.0,0.0,0.0,0.0,0.0,46.0
183,201027,47.0,1.0,0.0,0.0,0.0,48.0
184,201028,48.0,0.0,0.0,0.0,0.0,48.0
185,201029,38.0,0.0,1.0,0.0,0.0,39.0
186,201030,67.0,1.0,0.0,0.0,0.0,68.0
187,201031,52.0,0.0,0.0,0.0,0.0,52.0
188,201032,57.0,0.0,0.0,0.0,0.0,57.0
189,201033,33.0,0.0,0.0,0.0,0.0,33.0
190,201034,32.0,0.0,0.0,0.0,0.0,32.0
191,201035,21.0,0.0,0.0,1.0,0.0,22.0
192,201036,31.0,0.0,0.0,0.0,0.0,31.0
193,201037,38.0,0.0,0.0,0.0,0.0,38.0
194,201038,24.0,0.0,0.0,0.0,0.0,24.0
195,201039,25.0,0.0,0.0,0.0,0.0,25.0
196,201040,22.0,0.0,0.0,0.0,0.0,22.0
197,201041,19.0,0.0,0.0,0.0,0.0,19.0
198,201042,22.0,0.0,0.0,0.0,0.0,22.0
199,201043,33.0,0.0,0.0,0.0,0.0,33.0
200,201044,47.0,0.0,0.0,0.0,0.0,47.0
201,201045,44.0,0.0,0.0,0.0,0.0,44.0
202,201046,53.0,1.0,0.0,1.0,0.0,55.0
203,201047,74.0,0.0,1.0,0.0,0.0,75.0
204,201048,87.0,2.0,0.0,1.0,0.0,90.0
205,201049,109.0,0.0,0.0,0.0,0.0,109.0
206,201050,166.0,3.0,0.0,0.0,0.0,169.0
207,201051,128.0,2.0,0.0,0.0,0.0,130.0
